Date,Total
2013/7/24,186
2013/7/25,186
2013/7/26,189
2013/7/27,155
2013/7/28,139
2013/7/29,156
2013/7/30,123
2013/7/31,162
2013/8/1,201
2013/8/2,182
2013/8/3,148
2013/8/4,142
2013/8/5,141
2013/8/6,147
2013/8/7,139
2013/8/8,160
2013/8/9,144
2013/8/10,156
2013/8/11,117
2013/8/12,117
2013/8/13,137
2013/8/14,159
2013/8/15,114
2013/8/16,132
2013/8/17,141
2013/8/18,129
2013/8/19,120
2013/8/20,153
2013/8/21,160
2013/8/22,161
2013/8/23,161
2013/8/24,123
2013/8/25,127
2013/8/26,135
2013/8/27,155
2013/8/28,125
2013/8/29,134
2013/8/30,154
2013/8/31,152
2013/9/1,155
2013/9/2,197
2013/9/3,224
2013/9/4,225
2013/9/5,217
2013/9/6,200
2013/9/7,185
2013/9/8,127
2013/9/9,207
2013/9/10,199
2013/9/11,160
2013/9/12,145
2013/9/13,213
2013/9/14,201
2013/9/15,152
2013/9/16,164
2013/9/17,170
2013/9/18,191
2013/9/19,164
2013/9/20,215
2013/9/21,162
2013/9/22,166
2013/9/23,188
2013/9/24,247
2013/9/25,180
2013/9/26,196
2013/9/27,218
2013/9/28,181
2013/9/29,169
2013/9/30,189
2013/10/1,187
2013/10/2,175
2013/10/3,191
2013/10/4,222
2013/10/5,165
2013/10/6,142
2013/10/7,197
2013/10/8,171
2013/10/9,189
2013/10/10,185
2013/10/11,212
2013/10/12,158
2013/10/13,124
2013/10/14,158
2013/10/15,203
2013/10/16,226
2013/10/17,190
2013/10/18,211
2013/10/19,154
2013/10/20,175
2013/10/21,164
2013/10/22,145
2013/10/23,174
2013/10/24,175
2013/10/25,190
2013/10/26,179
2013/10/27,122
2013/10/28,157
2013/10/29,176
2013/10/30,170
2013/10/31,219
2013/11/1,125
2013/11/2,144
2013/11/3,121
2013/11/4,180
2013/11/5,192
2013/11/6,209
2013/11/7,195
2013/11/8,223
2013/11/9,187
2013/11/10,127
2013/11/11,119
2013/11/12,233
2013/11/13,208
2013/11/14,194
2013/11/15,180
2013/11/16,119
2013/11/17,108
2013/11/18,157
2013/11/19,195
2013/11/20,198
2013/11/21,206
2013/11/22,202
2013/11/23,139
2013/11/24,109
2013/11/25,156
2013/11/26,163
2013/11/27,172
2013/11/28,193
2013/11/29,201
2013/11/30,158
2013/12/1,126
2013/12/2,165
2013/12/3,190
2013/12/4,187
2013/12/5,211
2013/12/6,204
2013/12/7,160
2013/12/8,113
2013/12/9,218
2013/12/10,223
2013/12/11,198
2013/12/12,209
2013/12/13,219
2013/12/14,181
2013/12/15,114
2013/12/16,220
2013/12/17,159
2013/12/18,172
2013/12/19,210
2013/12/20,243
2013/12/21,148
2013/12/22,131
2013/12/23,150
2013/12/24,124
2013/12/25,71
2013/12/26,108
2013/12/27,133
2013/12/28,114
2013/12/29,104
2013/12/30,117
2013/12/31,111
2014/1/1,106
2014/1/2,126
2014/1/3,123
2014/1/4,90
2014/1/5,79
2014/1/6,143
2014/1/7,175
2014/1/8,155
2014/1/9,175
2014/1/10,193
2014/1/11,151
2014/1/12,112
2014/1/13,173
2014/1/14,199
2014/1/15,186
2014/1/16,211
2014/1/17,246
2014/1/18,150
2014/1/19,96
2014/1/20,143
2014/1/21,154
2014/1/22,180
2014/1/23,161
2014/1/24,192
2014/1/25,171
2014/1/26,108
2014/1/27,148
2014/1/28,168
2014/1/29,141
2014/1/30,157
2014/1/31,171
2014/2/1,135
2014/2/2,132
2014/2/3,146
2014/2/4,167
2014/2/5,154
2014/2/6,175
2014/2/7,184
2014/2/8,141
2014/2/9,125
2014/2/10,144
2014/2/11,179
2014/2/12,199
2014/2/13,147
2014/2/14,182
2014/2/15,142
2014/2/16,128
2014/2/17,140
2014/2/18,124
2014/2/19,141
2014/2/20,172
2014/2/21,169
2014/2/22,136
2014/2/23,128
2014/2/24,132
2014/2/25,115
2014/2/26,153
2014/2/27,163
2014/2/28,171
2014/3/1,134
2014/3/2,123
2014/3/3,146
2014/3/4,127
2014/3/5,158
2014/3/6,175
2014/3/7,172
2014/3/8,179
2014/3/9,164
2014/3/10,155
2014/3/11,165
2014/3/12,152
2014/3/13,167
2014/3/14,205
2014/3/15,139
2014/3/16,161
2014/3/17,140
2014/3/18,143
2014/3/19,153
2014/3/20,169
2014/3/21,164
2014/3/22,131
2014/3/23,136
2014/3/24,137
2014/3/25,187
2014/3/26,142
2014/3/27,134
2014/3/28,232
2014/3/29,135
2014/3/30,115
2014/3/31,133
2014/4/1,183
2014/4/2,148
2014/4/3,158
2014/4/4,193
2014/4/5,173
2014/4/6,140
2014/4/7,159
2014/4/8,161
2014/4/9,254
2014/4/10,188
2014/4/11,210
2014/4/12,167
2014/4/13,123
2014/4/14,179
2014/4/15,202
2014/4/16,206
2014/4/17,182
2014/4/18,172
2014/4/19,171
2014/4/20,107
2014/4/21,86
2014/4/22,158
2014/4/23,142
2014/4/24,149
2014/4/25,187
2014/4/26,164
2014/4/27,142
2014/4/28,135
2014/4/29,152
2014/4/30,176
2014/5/1,101
2014/5/2,134
2014/5/3,153
2014/5/4,134
2014/5/5,192
2014/5/6,149
2014/5/7,159
2014/5/8,140
2014/5/9,180
2014/5/10,144
2014/5/11,114
2014/5/12,146
2014/5/13,170
2014/5/14,184
2014/5/15,200
2014/5/16,265
2014/5/17,194
2014/5/18,156
2014/5/19,175
2014/5/20,172
2014/5/21,177
2014/5/22,188
2014/5/23,212
2014/5/24,167
2014/5/25,137
2014/5/26,152
2014/5/27,159
2014/5/28,204
2014/5/29,120
2014/5/30,167
2014/5/31,168
2014/6/1,134
2014/6/2,162
2014/6/3,156
2014/6/4,189
2014/6/5,177
2014/6/6,234
2014/6/7,183
2014/6/8,169
2014/6/9,125
2014/6/10,207
2014/6/11,225
2014/6/12,229
2014/6/13,214
2014/6/14,169
2014/6/15,157
2014/6/16,193
2014/6/17,199
2014/6/18,184
2014/6/19,197
2014/6/20,237
2014/6/21,195
2014/6/22,178
2014/6/23,175
2014/6/24,204
2014/6/25,189
2014/6/26,193
2014/6/27,201
2014/6/28,172
2014/6/29,140
2014/6/30,163
2014/7/1,179
2014/7/2,172
2014/7/3,222
2014/7/4,195
2014/7/5,158
2014/7/6,158
2014/7/7,151
2014/7/8,159
2014/7/9,146
2014/7/10,160
2014/7/11,150
2014/7/12,137
2014/7/13,117
2014/7/14,102
2014/7/15,192
2014/7/16,194
2014/7/17,160
2014/7/18,187
2014/7/19,162
2014/7/20,124
2014/7/21,151
2014/7/22,157
2014/7/23,139
2014/7/24,161
2014/7/25,179
2014/7/26,153
2014/7/27,132
2014/7/28,141
2014/7/29,126
2014/7/30,149
2014/7/31,170
2014/8/1,178
2014/8/2,142
2014/8/3,133
2014/8/4,105
2014/8/5,144
2014/8/6,158
2014/8/7,149
2014/8/8,146
2014/8/9,126
2014/8/10,136
2014/8/11,116
2014/8/12,129
2014/8/13,115
2014/8/14,137
2014/8/15,106
2014/8/16,114
2014/8/17,106
2014/8/18,119
2014/8/19,115
2014/8/20,119
2014/8/21,129
2014/8/22,144
2014/8/23,168
2014/8/24,123
2014/8/25,150
2014/8/26,148
2014/8/27,153
2014/8/28,151
2014/8/29,159
2014/8/30,157
2014/8/31,141
2014/9/1,165
2014/9/2,149
2014/9/3,156
2014/9/4,188
2014/9/5,186
2014/9/6,186
2014/9/7,161
2014/9/8,161
2014/9/9,191
2014/9/10,177
2014/9/11,202
2014/9/12,258
2014/9/13,182
2014/9/14,144
2014/9/15,153
2014/9/16,197
2014/9/17,196
2014/9/18,198
2014/9/19,197
2014/9/20,166
